Customerkey,First Name,Last Name,Gender,DateFirstPurchase,Customer City
11183,Jasmine,Lee,FEMALE,2013-04-30,Santa Cruz
11184,Meghan,Hernandez,FEMALE,2013-08-10,Concord
11185,Ashley,Henderson,FEMALE,2013-02-21,Metchosin
11186,Sarah,Price,FEMALE,2013-10-18,Palo Alto
11187,Jennifer,Cooper,FEMALE,2013-04-03,Burien
11188,Catherine,Morris,FEMALE,2013-11-01,San Gabriel
11189,Lawrence,Blanco,MALE,2011-08-26,Bellingham
11190,Carson,Bryant,MALE,2013-08-28,Beverly Hills
11191,Kristi,Perez,FEMALE,2011-08-11,Colma
11192,James,Brown,MALE,2013-06-23,Seattle
11193,Ian,Gray,MALE,2013-02-25,Woodburn
11194,Jacqueline,Price,FEMALE,2013-03-13,Palo Alto
11195,Megan,Henderson,FEMALE,2013-04-14,Renton
11196,Alfredo,Romero,MALE,2013-03-03,Beaverton
11197,Andrea,Morris,FEMALE,2013-05-02,Seattle
11198,Brooke,Sanders,FEMALE,2013-02-05,Santa Cruz
11199,Jacqueline,Bennett,FEMALE,2013-03-18,Burlingame
11200,Jason,Griffin,MALE,2013-02-07,Victoria
11201,Amanda,Foster,FEMALE,2013-07-01,Santa Monica
11202,Alexia,Price,FEMALE,2013-09-15,Lakewood
11203,Luis,Diaz,MALE,2013-02-20,Port Hammond
11204,Destiny,Rivera,FEMALE,2013-08-09,Beaverton
11205,Abby,Fernandez,FEMALE,2013-07-27,Burien
11206,Blake,Flores,MALE,2013-05-11,Lynnwood
11207,Danielle,Cox,FEMALE,2013-01-31,Renton
11208,Maria,Reed,FEMALE,2013-03-04,Glendale
11209,Allison,Evans,FEMALE,2013-03-25,Lincoln Acres
11210,Edward,Wood,MALE,2013-05-06,West Covina
11211,Samantha,Russell,FEMALE,2013-02-01,Haney
11212,Chloe,Campbell,FEMALE,2013-01-30,Metchosin
11213,Stephanie,Murphy,FEMALE,2013-03-28,Edmonds
11214,Charles,Miller,MALE,2013-08-14,Milwaukie
11215,Ana,Perry,FEMALE,2013-02-15,Royal Oak
11216,Jasmine,Torres,FEMALE,2011-08-15,Portland
11217,Natalie,Adams,FEMALE,2011-08-10,Portland
11218,Olivia,Brown,FEMALE,2013-02-28,Tacoma
11219,Charles,Cook,MALE,2013-10-29,Woodburn
11220,Erica,Huang,FEMALE,2013-03-14,Colma
11221,Nathan,Perry,MALE,2013-04-07,Lakewood
11222,Alexandra,Rivera,FEMALE,2013-11-01,Santa Monica
11223,Hailey,Patterson,FEMALE,2013-01-29,Langley
11224,Tiffany,Li,FEMALE,2011-08-07,Burien
11225,Madison,Lee,FEMALE,2013-06-22,Renton
11226,Sydney,Ross,FEMALE,2013-02-21,W. Linn
11227,Marshall,Chavez,MALE,2011-08-03,Colma
11228,Ashley,Jones,FEMALE,2013-10-25,El Cajon
11229,Adrian,Stewart,MALE,2013-07-27,Redwood City
11230,Amber,Turner,FEMALE,2013-07-16,Santa Monica
11231,Dennis,Zhang,MALE,2013-02-10,Bremerton
11232,Hailey,Bryant,FEMALE,2013-09-20,Everett
11233,Todd,Li,MALE,2013-02-08,Berkeley
11234,Anna,Griffin,FEMALE,2013-02-08,Long Beach
11235,Angel,Stewart,MALE,2013-07-04,Ballard
11236,Jeremy,Butler,MALE,2013-10-03,Bellingham
11237,Clarence,Anand,MALE,2011-09-05,Solingen
11238,Mayra,Prasad,FEMALE,2011-01-06,Birmingham
11239,Latoya,Goel,FEMALE,2011-01-19,London
11240,Anne,Hernandez,FEMALE,2011-02-27,Watford
11241,Lisa,Cai,FEMALE,2012-09-10,Les Ulis
11242,Larry,Munoz,MALE,2012-09-19,Versailles
11243,Robin,Alvarez,FEMALE,2011-02-21,Esher-Molesey
11244,Alexis,Coleman,FEMALE,2011-02-12,Runcorn
11245,Ricky,Vazquez,MALE,2011-09-26,Hamburg
11246,Latasha,Rubio,FEMALE,2011-10-03,Hamburg
11247,Claudia,Zhou,FEMALE,2011-02-18,Lancaster
11248,Tristan,Alexander,MALE,2013-07-14,Saint-Denis
11249,Cindy,Patel,FEMALE,2011-10-09,Sulzbach Taunus
11250,Shannon,Liu,FEMALE,2011-03-17,Woolston
11251,Xavier,Long,MALE,2013-10-18,Haney
11252,Nicholas,Thompson,MALE,2011-08-14,Lemon Grove
11253,José,Hernandez,MALE,2013-03-01,Victoria
11254,Johnathan,Vance,MALE,2013-11-23,Burien
11255,Colin,Lin,MALE,2013-02-23,Burien
11256,Katelyn,Hernandez,FEMALE,2013-04-15,Lynnwood
11257,Jacqueline,Powell,FEMALE,2011-08-24,Newport Beach
11258,Xavier,Hill,MALE,2013-05-21,Palo Alto
11259,Victoria,Stewart,FEMALE,2011-09-04,Salem
11260,Katelyn,Kelly,FEMALE,2013-02-05,Burlingame
11261,Stephanie,Collins,FEMALE,2011-09-27,San Diego
11262,Jennifer,Simmons,FEMALE,2013-02-27,Port Hammond
11263,Trinity,Richardson,FEMALE,2011-08-29,Burien
11264,Eduardo,Martin,MALE,2013-01-02,Issaquah
11265,Elizabeth,Jones,FEMALE,2013-01-03,Kirkland
11266,Taylor,Howard,FEMALE,2011-09-10,Port Orchard
11267,David,Diaz,MALE,2011-09-17,Burlingame
11268,Katelyn,Carter,FEMALE,2013-05-29,Coronado
11269,Ryan,Foster,MALE,2013-08-22,Daly City
11270,Robert,Lee,MALE,2011-09-10,Lakewood
11271,Danielle,Reed,FEMALE,2011-09-27,San Francisco
11272,Lauren,Martinez,FEMALE,2011-09-19,Beverly Hills
11273,Nathan,Lal,MALE,2013-05-14,La Jolla
11274,Kyle,Foster,MALE,2011-08-29,Bellingham
11275,Jenny,Rai,FEMALE,2011-08-30,Colma
11276,Nancy,Chapman,FEMALE,2013-01-29,Cliffside
11277,Charles,Jackson,MALE,2013-02-02,Royal Oak
11278,Jonathan,Phillips,MALE,2011-09-16,Edmonds
11279,Amanda,Cook,FEMALE,2013-03-03,Everett
11280,Robert,Collins,MALE,2013-07-01,Lynnwood
11281,Megan,Barnes,FEMALE,2011-09-13,Burbank
11282,Christian,Thomas,MALE,2011-08-31,Burien
11283,Arturo,Lal,MALE,2013-05-29,Berkeley
11284,Theresa,Serrano,FEMALE,2013-02-06,Chula Vista
11285,Jeremy,Anderson,MALE,2013-07-27,Fremont
11286,Hunter,Griffin,MALE,2011-09-21,Torrance
11287,Henry,Garcia,MALE,2013-01-29,Cliffside
11288,Cindy,Sanchez,FEMALE,2013-03-05,Burbank
11289,Maria,Carter,FEMALE,2011-09-08,Downey
11290,Katelyn,Sanchez,FEMALE,2011-09-20,Lakewood
11291,Jenna,Wright,FEMALE,2011-09-04,Lemon Grove
11292,Seth,Phillips,MALE,2011-09-15,San Gabriel
11293,Luke,Long,MALE,2013-02-24,Port Orchard
11294,Dalton,Clark,MALE,2013-09-25,Issaquah
11295,Taylor,Lewis,FEMALE,2011-09-25,Concord
11296,Haley,Richardson,FEMALE,2011-09-01,Everett
11297,Noah,Coleman,MALE,2011-09-26,Burbank
11298,Jon,Luo,MALE,2011-09-12,Chula Vista
11299,Orlando,Vazquez,MALE,2011-09-26,Burbank
11300,Fernando,Barnes,MALE,2013-01-31,N. Vancouver
11301,Cameron,Rodriguez,MALE,2013-06-09,Ballard
11302,Spencer,Russell,MALE,2011-09-06,Corvallis
11303,Julia,Coleman,FEMALE,2011-09-02,Edmonds
11304,Julia,Garcia,FEMALE,2013-03-20,Portland
11305,Sean,Evans,MALE,2013-03-25,Chula Vista
11306,Micah,Zhou,MALE,2013-06-30,Coronado
11307,Hunter,Rodriguez,MALE,2011-09-04,Daly City
11308,Ian,Gonzales,MALE,2013-09-07,Oregon City
11309,Victoria,Lewis,FEMALE,2013-07-09,Beaverton
11310,Erin,Sanders,FEMALE,2013-08-12,San Francisco
11311,Gabrielle,Lopez,FEMALE,2013-04-18,Lynnwood
11312,Sara,Richardson,FEMALE,2013-05-17,Lynnwood
11313,Trevor,Jenkins,MALE,2013-05-07,Port Orchard
11314,Mya,Flores,FEMALE,2013-02-25,Issaquah
11315,Hailey,Ward,FEMALE,2013-05-20,Port Orchard
11316,Luke,Allen,MALE,2013-01-12,Langford
11317,Victoria,Russell,FEMALE,2011-09-01,Salem
11318,Jessica,Wilson,FEMALE,2013-10-17,Edmonds
11319,Jade,Bailey,FEMALE,2011-09-09,Oakland
11320,Morgan,Hill,FEMALE,2013-06-15,Glendale
11321,Terrance,Raman,MALE,2013-02-23,Burien
11322,Sydney,Garcia,FEMALE,2013-03-24,Bremerton
11323,Jose,Patterson,MALE,2011-09-10,Daly City
11324,Zachary,Anderson,MALE,2011-09-26,Glendale
11325,Elijah,Ross,MALE,2011-09-19,Seattle
11326,Rafael,Xie,MALE,2011-09-15,Beverly Hills
11327,Jaime,Moreno,MALE,2011-09-26,Burbank
11328,Julian,Griffin,MALE,2013-01-05,Newton
11329,Andy,Alvarez,MALE,2011-09-25,Concord
11330,Ryan,Thompson,MALE,2013-02-12,Oak Bay
11331,Samantha,Jenkins,FEMALE,2013-02-07,Shawnee
11332,Deanna,Ramos,FEMALE,2011-10-15,Berlin
11333,Emily,Miller,FEMALE,2011-03-21,Newcastle upon Tyne
11334,Nicole,Brown,FEMALE,2011-03-04,Stoke-on-Trent
11335,Carla,Raman,FEMALE,2011-10-23,Hof
11336,Shaun,Raji,MALE,2012-09-27,Paris
11337,Jerome,Romero,MALE,2011-03-09,Watford
11338,Frank,Navarro,MALE,2011-10-11,Bonn
11339,Dennis,She,MALE,2012-10-07,Paris
11340,Melody,Munoz,FEMALE,2012-10-27,Paris
11341,Randy,Zeng,MALE,2011-04-11,Cheltenham
11342,Marshall,Wang,MALE,2013-07-12,Boulogne-sur-Mer
11343,Arthur,Carlson,MALE,2011-04-04,Oxon
11344,Jessie,Jimenez,FEMALE,2011-05-13,Oxford
11345,Robin,Ramos,FEMALE,2012-10-22,Tremblay-en-France
11346,Deanna,Gutierrez,FEMALE,2012-10-01,Paris
11347,Roy,Navarro,MALE,2013-03-16,Braunschweig
11348,Shawn,Rai,MALE,2013-03-31,Paderborn
11349,Mindy,Luo,FEMALE,2014-01-13,München
11350,Cara,Zhou,FEMALE,2013-02-05,Peterborough
11351,Anne,Ramos,FEMALE,2011-06-12,London
11352,Raymond,Rodriguez,MALE,2013-05-01,Pantin
11353,Carrie,Ortega,FEMALE,2011-06-12,Warrington
11354,Deanna,Suarez,FEMALE,2013-12-03,Grevenbroich
11355,Roberto,Gutierrez,MALE,2013-09-26,Wokingham
11356,Terrence,Carson,MALE,2011-05-10,Lavender Bay
11357,Ramon,Ye,MALE,2011-06-18,Caloundra
11358,Cynthia,Malhotra,FEMALE,2011-06-28,Coffs Harbour
11359,Jarrod,Prasad,MALE,2011-06-13,Malabar
11360,Tyrone,Serrano,MALE,2011-06-27,Rockhampton
11361,Cindy,Ramos,FEMALE,2013-10-01,Newcastle
11362,Damien,Shan,MALE,2013-03-29,Cranbourne
11363,Julian,Ross,MALE,2011-06-08,Melbourne
11364,Jennifer,Collins,FEMALE,2011-06-07,Geelong
11365,Brittney,Sun,FEMALE,2011-05-31,Findon
11366,Virginia,Patel,FEMALE,2013-06-24,Seaford
11367,Calvin,Nara,MALE,2013-07-07,North Sydney
11368,Edward,Miller,MALE,2011-06-24,Rockhampton
11369,Ashlee,Tang,FEMALE,2013-07-05,Findon
11370,Alicia,Xu,FEMALE,2013-07-13,South Melbourne
11371,Lacey,Jai,FEMALE,2013-11-07,Rockhampton
11372,Wendy,Romero,FEMALE,2011-06-07,Brisbane
11373,Carly,Luo,FEMALE,2013-08-27,Salzgitter
11374,Jimmy,Ortega,MALE,2013-04-15,Werne
11375,Francisco,Martinez,MALE,2013-10-17,High Wycombe
11376,Lance,Vazquez,MALE,2013-10-15,Liverpool
11377,David,Robinett,MALE,2013-02-28,Solingen
11378,Shannon,Liang,FEMALE,2012-10-17,Metz
11379,Gary,Vazquez,MALE,2012-10-02,Boulogne-Billancourt
11380,Mitchell,Kumar,MALE,2011-10-11,Saarlouis
11381,Meredith,Raman,FEMALE,2011-06-12,London
11382,Edward,Patterson,MALE,2012-11-03,Roubaix
11383,Marie,Gill,FEMALE,2014-01-01,Roissy en Brie
11384,Tiffany,Wang,FEMALE,2013-08-02,Les Ulis
11385,Miguel,Allen,MALE,2013-07-06,York
11386,Jaclyn,Cai,FEMALE,2013-11-02,Darmstadt
11387,Megan,Ramirez,FEMALE,2011-07-26,Gateshead
11388,Joseph,Martin,MALE,2011-07-03,York
11389,Karl,Shan,MALE,2013-11-17,Duesseldorf
11390,Christine,Raji,FEMALE,2013-11-07,Saint Germain en Laye
11391,Lindsay,Xie,FEMALE,2013-10-26,Salzgitter
11392,Willie,Zhao,MALE,2013-03-29,Frankfurt
11393,Kurt,Pal,MALE,2013-07-16,Saint Ouen
11394,George,McDonald,MALE,2011-07-04,Milton Keynes
11395,Beth,Gutierrez,FEMALE,2011-11-14,Frankfurt
11396,Ian,Lopez,MALE,2013-10-26,Saarlouis
11397,Latoya,Shan,FEMALE,2013-07-07,Paris
11398,Colin,Nath,MALE,2011-07-03,Newcastle upon Tyne
11399,Brenda,Mehta,FEMALE,2013-04-13,Paris
11400,Franklin,Raji,MALE,2011-07-15,London
11401,Linda,Navarro,FEMALE,2012-10-28,Paris
11402,Kelli,Cai,FEMALE,2012-11-07,Orleans
11403,Nancy,Schmidt,FEMALE,2012-10-28,Saint Ouen
11404,Megan,Taylor,FEMALE,2013-02-10,Kassel
11405,Bonnie,Goel,FEMALE,2013-03-31,Bonn
11406,Latoya,Xu,FEMALE,2012-11-04,Paris
11407,Mario,She,MALE,2013-06-23,Münster
11408,Darren,Gill,MALE,2013-03-05,London
11409,Jacqueline,Hayes,FEMALE,2012-11-17,Saint Germain en Laye
11410,Maurice,Goel,MALE,2012-11-13,Paris
11411,Devin,Ross,MALE,2013-08-04,Ingolstadt
11412,Sydney,Bryant,FEMALE,2011-11-05,Ingolstadt
11413,Megan,Stewart,FEMALE,2011-08-10,Gateshead
11414,Ian,Richardson,MALE,2011-08-13,Kirkby
11415,Randy,She,MALE,2013-08-16,Darmstadt
11416,Katrina,Becker,FEMALE,2012-11-07,Croix
11417,Lacey,Zheng,FEMALE,2012-11-04,Pantin
11418,Rafael,Hu,MALE,2013-12-17,Paderborn
11419,Kyle,Scott,MALE,2013-03-12,Watford
11420,Jordan,Turner,MALE,2012-11-01,Roubaix
11421,Amy,Sun,FEMALE,2011-11-03,Offenbach
11422,Dustin,Deng,MALE,2011-08-22,Liverpool
11423,Jasmine,Stewart,FEMALE,2011-12-10,Hamburg
11424,Pamela,Garcia,FEMALE,2013-04-21,Berlin
11425,Ariana,Gray,FEMALE,2012-11-22,Metz
11426,Kristopher,Mehta,MALE,2013-04-09,Braunschweig
11427,Desiree,Dominguez,FEMALE,2011-12-20,Kiel
11428,Deanna,Perez,FEMALE,2011-12-05,Poing
11429,Marco,Lopez,MALE,2012-12-14,Sèvres
11430,Casey,Yuan,FEMALE,2013-03-19,Bottrop
11431,Bryant,Garcia,MALE,2011-12-21,Hof
11432,Dominique,Prasad,FEMALE,2012-12-10,Roissy en Brie
11433,Maurice,Shan,MALE,2012-12-02,Tremblay-en-France
11434,Andre,Lopez,MALE,2013-06-15,West Sussex
11435,Robin,Romero,FEMALE,2014-01-04,Kiel
11436,Taylor,Cox,FEMALE,2013-05-22,Watford
11437,Alfredo,Moreno,MALE,2013-12-19,Villeneuve-d'Ascq
11438,Jenny,Nara,FEMALE,2013-02-05,Werne
11439,Janet,Munoz,FEMALE,2012-11-29,Paris La Defense
11440,Sergio,Weber,MALE,2013-03-27,Lille
11441,Erika,Gomez,FEMALE,2014-01-08,Paris
11442,Joseph,Harris,MALE,2013-09-29,Tremblay-en-France
11443,Grace,Griffin,FEMALE,2011-06-07,Hobart
11444,Tina,Mehta,FEMALE,2011-06-01,Bendigo
11445,Kari,Kim,FEMALE,2011-06-06,Silverwater
11446,Bethany,Chander,FEMALE,2011-06-18,Lane Cove
11447,Jennifer,Roberts,FEMALE,2011-06-28,Hervey Bay
11448,Kyle,Patterson,MALE,2011-06-16,Melbourne
11449,Alvin,Hu,MALE,2011-06-19,Seaford
11450,Brett,Mehta,MALE,2011-06-29,Cloverdale
11451,Ruben,Muñoz,MALE,2011-07-29,Newcastle
11452,Erika,Rubio,FEMALE,2011-07-11,Caloundra
11453,Stanley,Malhotra,MALE,2011-07-15,Hobart
11454,Melinda,Navarro,FEMALE,2011-07-31,Melbourne
11455,Ross,Sanz,MALE,2011-07-01,Melton
11456,Jon,Gao,MALE,2011-07-17,St. Leonards
11457,Jaime,Gutierrez,FEMALE,2011-07-17,Wollongong
11458,Bianca,Liu,FEMALE,2013-03-30,Springwood
